"LoanOriginationDate","BorrowerRate","StatedMonthlyIncome","LoanOriginalAmount","MonthlyLoanPayment","LP_CustomerPayments","LP_InterestandFees"
"2006-03-31 00:00:00",0.1628,6521.8083333,4685,158.595,5111.784,712.932
"2006-04-03 00:00:00",0.236263157894737,5652.78947368421,4630.73684210526,177.015789473684,4237.31105263158,955.685263157895
"2006-04-04 00:00:00",0.254572727272727,4721.83712113636,4461.68181818182,171.368181818182,3519.34545454545,1010.44681818182
"2006-04-05 00:00:00",0.185975,5549.72222216667,5308.5,191.904166666667,4762.65833333333,942.6875
"2006-04-06 00:00:00",0.231607142857143,6596.84523792857,7131.28571428571,257.716428571429,5800.52785714286,1623.11357142857
"2006-04-07 00:00:00",0.19897,5091.6666668,7005.2,265.628,5705.181,1340.411
"2006-04-10 00:00:00",0.176983333333333,5397.66666655556,5836.22222222222,209.540555555556,5179.98444444444,1027.87944444444
"2006-04-11 00:00:00",0.184275,7257.06249995,5424,190.9385,5695.51,1109.0905
"2006-04-12 00:00:00",0.170884615384615,5158.80128207692,3672.69230769231,133.404615384615,3550.43461538462,678.823846153846
"2006-04-13 00:00:00",0.145666666666667,7740.011111,5316.8,182.596666666667,4829.746,831.598
"2006-04-14 00:00:00",0.174125,4625.01041675,3850,138.18875,3707.815,622.0175
"2006-04-17 00:00:00",0.150727272727273,4844.14393945455,7472.81818181818,264.875454545455,7011.36454545454,1473.85545454545
"2006-04-18 00:00:00",0.159304347826087,6127.43840586957,4776.21739130435,161.299130434783,5111.88217391304,839.008260869565
"2006-04-19 00:00:00",0.1793,5099.9999998,3420,93.382,3667.324,733.43
"2006-04-20 00:00:00",0.16475,5771.11904764286,3195.78571428571,107.143571428571,2865.54785714286,652.040714285714
"2006-04-21 00:00:00",0.16977,5807.0833334,5945.1,205.392,5951.672,1144.554
"2006-04-24 00:00:00",0.15041875,7196.4583334375,5550.0625,191.5525,5274.41125,912.383125
"2006-04-25 00:00:00",0.168952,5441.93999996,5604.16,188.9032,4649.6188,878.5644
"2006-04-26 00:00:00",0.175772727272727,4674.24242427273,4413.72727272727,158.678181818182,4435.60181818182,924.933636363636
"2006-04-27 00:00:00",0.1664375,4473.958333375,4137.875,132.23375,3802.09,667.135
"2006-04-28 00:00:00",0.188785714285714,5254.41071428571,7137.64285714286,255.867857142857,7714.19857142857,1821.07428571429
"2006-05-01 00:00:00",0.17055,4414.43750005,3327.5,111.226,3013.7985,561.5515
"2006-05-02 00:00:00",0.167589285714286,5693.25892857143,4315.64285714286,150.150714285714,4566.32714285714,794.677857142857
"2006-05-03 00:00:00",0.16778125,4720.9375,6462.5625,223.6575,6526.078125,1002.075
"2006-05-04 00:00:00",0.180946666666667,6370.83333333333,5340,175.158,5519.24466666667,901.056
"2006-05-05 00:00:00",0.1887,4490.74583335,3297.55,110.462,3246.976,725.506
"2006-05-08 00:00:00",0.19275,3184.74242422727,3413.68181818182,122.416363636364,2723.42636363636,615.592727272727
"2006-05-09 00:00:00",0.165467441860465,5949.20736425581,4559.88372093023,157.891162790698,4119.18906976744,729.89023255814
"2006-05-10 00:00:00",0.180061904761905,6061.53174604762,5983.57142857143,211.423333333333,4610.80476190476,1014.8219047619
"2006-05-11 00:00:00",0.188759259259259,5163.77469137037,2757.40740740741,97.5418518518518,2452.99777777778,573.768148148148
"2006-05-12 00:00:00",0.205916666666667,3821.25462961111,3738.94444444444,115.791666666667,3565.08,902.095555555556
"2006-05-15 00:00:00",0.174894444444444,6566.66666672222,4441.11111111111,151.198333333333,4695.03388888889,858.725
"2006-05-16 00:00:00",0.1842,5238.39583341667,4872.95833333333,173.37625,4890.02708333333,981.438333333333
"2006-05-17 00:00:00",0.171871428571429,8021.63095242857,5617.92857142857,149.642142857143,6317.52714285714,1400.77428571429
"2006-05-18 00:00:00",0.201694117647059,4940.70588235294,4703,171.362352941176,4090.15647058824,989.77
"2006-05-19 00:00:00",0.169491666666667,6135.72916675,5008.41666666667,172.808333333333,4324.3625,549.755833333333
"2006-05-22 00:00:00",0.172113333333333,5937.2777778,4728.33333333333,165.29,3817.898,753.062
"2006-05-23 00:00:00",0.180872222222222,4327.26388888889,4183.61111111111,146.464444444444,4315.63833333333,861.957222222222
"2006-05-24 00:00:00",0.194458333333333,7044.27777775,4793.75,158.978333333333,5147.1075,1191.98
"2006-05-25 00:00:00",0.164945454545455,4866.28787863636,3669,122.999090909091,3816.01090909091,780.810909090909
"2006-05-26 00:00:00",0.17338,5208.6833332,6255.1,221.103,5279.238,1260.23
"2006-05-30 00:00:00",0.182677777777778,6138.57870361111,5089,172.233333333333,5443.16166666667,609.417777777778
"2006-05-31 00:00:00",0.187466,4627.42666666,5210.1,185.269,5027.0196,1014.6382
"2006-06-01 00:00:00",0.192722222222222,5683.35185188889,3427.77777777778,121.037777777778,3307.95333333333,612.171111111111
"2006-06-02 00:00:00",0.176511111111111,4192.87962988889,4011.11111111111,133.628888888889,4158.23777777778,717.527777777778
"2006-06-05 00:00:00",0.181110714285714,7981.97321435714,6121.46428571429,208.330714285714,5562.85214285714,1062.29785714286
"2006-06-06 00:00:00",0.199042424242424,4666.15404036364,3733.45454545455,134.125151515152,3479.39303030303,774.229696969697
"2006-06-07 00:00:00",0.210625,6031.25,3212.625,104.7825,2981.295,853.9725
"2006-06-08 00:00:00",0.211588888888889,3798.79398152778,3612.69444444444,121.373333333333,3469.93972222222,735.445277777778
"2006-06-09 00:00:00",0.189058823529412,5379.17156858824,3255.88235294118,115.678823529412,3679.71647058824,679.281764705882
"2006-06-12 00:00:00",0.2198,3771.37301585714,2766.66666666667,102.629047619048,2483.77428571429,508.025238095238
"2006-06-13 00:00:00",0.197304444444444,4626.69629633333,4043.4,144.909333333333,3724.58155555556,748.949777777778
"2006-06-14 00:00:00",0.194253488372093,4611.66666674419,4189.48837209302,149.977906976744,3884.01441860465,738.597674418605
"2006-06-15 00:00:00",0.192840909090909,4356.57954545455,3659.13636363636,129.981818181818,2857.47863636364,712.299545454545
"2006-06-16 00:00:00",0.189955555555556,5033.30092577778,4407,152.846111111111,4225.92722222222,994.514444444444
"2006-06-19 00:00:00",0.205086206896552,4225.86494255172,3909.44827586207,141.47275862069,3263.83965517241,772.655862068966
"2006-06-20 00:00:00",0.165643181818182,4978.76515152273,3619.63636363636,118.942045454545,3664.84,631.074318181818
"2006-06-21 00:00:00",0.188477777777778,6428.24074088889,4033.33333333333,147.426666666667,2565.14777777778,649.681111111111
"2006-06-22 00:00:00",0.179172727272727,3530.30303027273,4704.54545454545,162.625454545455,3924.55363636364,725.041818181818
"2006-06-23 00:00:00",0.2102,4917.02777778571,4156,154.897380952381,4300.62357142857,958.826904761905
"2006-06-26 00:00:00",0.184007142857143,4247.99999992857,3837.57142857143,129.676428571429,3838.47285714286,745.416428571429
"2006-06-27 00:00:00",0.181621153846154,5409.08012819231,5046.46153846154,173.625576923077,4912.86692307692,926.208653846154
"2006-06-28 00:00:00",0.1862375,3451.7187500625,3210.3125,112.705,2697.175625,593.205625
"2006-06-29 00:00:00",0.1573,6433.3333332,5760,192.738,5592.782,822.732
"2006-06-30 00:00:00",0.163066666666667,3777.4305555,1459.16666666667,50.4483333333333,928.993333333333,173.876666666667
"2006-07-03 00:00:00",0.183978378378378,5030.54054051351,4225.5945945946,149.365945945946,3708.69702702703,774.066216216216
"2006-07-05 00:00:00",0.208074074074074,4049.01543203704,2916.66666666667,107.264444444444,2659.46851851852,541.555555555556
"2006-07-06 00:00:00",0.1817375,4911.20833325,4284.4375,155.723125,4363.815,941.13375
"2006-07-07 00:00:00",0.192354838709677,4238.83064516129,4139.22580645161,150.228064516129,4446.99193548387,952.918387096774
"2006-07-10 00:00:00",0.201875,4833.33333325,4125,153.6125,3997.135,890.16
"2006-07-11 00:00:00",0.190705084745763,5407.75141245763,4488.96610169491,158.112033898305,5061.34779661017,1045.3079661017
"2006-07-12 00:00:00",0.216957894736842,4646.47368421053,3867.94736842105,137.975263157895,3790.51947368421,833.035789473684
"2006-07-13 00:00:00",0.171706666666667,4833.9555555,4032.4,134.465666666667,3762.611,836.628
"2006-07-14 00:00:00",0.184194444444444,3808.75925933333,5438.33333333333,194.451666666667,4226.04833333333,788.085
"2006-07-17 00:00:00",0.174903846153846,5412.94230765385,5230.23076923077,164.963076923077,4684.03884615385,953.823461538462
"2006-07-18 00:00:00",0.169510810810811,4482.2117117027,2916.10810810811,102.119459459459,2843.02297297297,507.231351351351
"2006-07-19 00:00:00",0.191766666666667,5011.12037033333,4138.88888888889,150.843888888889,3701.73777777778,681.177777777778
"2006-07-20 00:00:00",0.1943,4176.04292924242,4765.66666666667,158.771212121212,4829.9696969697,979.673333333333
"2006-07-21 00:00:00",0.2080625,6155.8697916875,5743.8125,204.785,3948.511875,775.48125
"2006-07-24 00:00:00",0.226228571428571,7955.84523811429,3644.54285714286,133.128,3481.676,895.201428571429
"2006-07-25 00:00:00",0.181991666666667,5121.97453705556,3926.13888888889,135.605277777778,4457.57027777778,956.675555555556
"2006-07-26 00:00:00",0.201885714285714,3971.19523811429,3842.22857142857,134.927714285714,2855.39828571429,682.758285714286
"2006-07-27 00:00:00",0.187135,3948.8333333,8202.5,294.166,8073.8355,1668.4115
"2006-07-28 00:00:00",0.187604761904762,4931.54563492857,4188.7619047619,142.064761904762,4061.13166666667,876.486428571429
"2006-07-31 00:00:00",0.215790909090909,4620.57575754545,2925,109.269090909091,3082.59272727273,715.361818181818
"2006-08-01 00:00:00",0.210732608695652,4469.73007252174,3419.60869565217,128.195869565217,3160.34239130435,772.21152173913
"2006-08-02 00:00:00",0.210063157894737,4282.23684210526,6527.73684210526,243.424210526316,6197.90473684211,1324.60210526316
"2006-08-03 00:00:00",0.200995833333333,3891.756944375,3527.54166666667,126.810416666667,3030.07375,752.07375
"2006-08-04 00:00:00",0.201373684210526,5137.32017547368,6272.56140350877,227.481929824561,5856.09210526316,1213.56438596491
"2006-08-07 00:00:00",0.210606666666667,4840.9777778,3757.2,139.351,2901.72533333333,750.210333333333
"2006-08-08 00:00:00",0.186079411764706,4598.84558820588,4207.94117647059,151.727352941176,3475.65,638.815882352941
"2006-08-09 00:00:00",0.214414705882353,4575.04901964706,3996.29411764706,144.920882352941,3923.90617647059,966.597352941176
"2006-08-10 00:00:00",0.184942857142857,4904.922619,5709.92857142857,198.086428571429,4799.36357142857,1024.68607142857
"2006-08-11 00:00:00",0.214758823529412,7869.15686276471,7285.35294117647,273.676470588235,5897.45529411765,1583.12176470588
"2006-08-14 00:00:00",0.205144117647059,4132.45833329412,5266.38235294118,187.473235294118,5534.24764705882,1349.79441176471
"2006-08-15 00:00:00",0.185193103448276,5097.67672410345,5241.74137931035,183.617586206897,4719.39396551724,1058.45275862069
"2006-08-16 00:00:00",0.208495,5273.2499999,5185.05,191.3045,4682.352,1063.788
"2006-08-17 00:00:00",0.231,4888.62318843478,4241.30434782609,158.41652173913,3751.16652173913,934.265217391304
"2006-08-18 00:00:00",0.215675757575758,4610.78787881818,4459.09090909091,157.862121212121,4014.59212121212,941.89
"2006-08-21 00:00:00",0.18365,5437.25000010714,6087.60714285714,221.521785714286,6132.71571428571,1182.41535714286
"2006-08-22 00:00:00",0.189590769230769,4536.89102563077,4127.06153846154,145.818307692308,4228.84446153846,868.158307692308
"2006-08-23 00:00:00",0.190163333333333,7607.35000003333,5447.43333333333,195.281666666667,4745.79433333333,1163.6
"2006-08-24 00:00:00",0.218591304347826,5197.55072465217,6662.08695652174,246.518260869565,6028.23869565217,1492.90608695652
"2006-08-25 00:00:00",0.182122580645161,3672.69086029032,3805.83870967742,136.581612903226,3621.78322580645,799.680322580645
"2006-08-28 00:00:00",0.223264,4352.64333344,5817.2,213.6256,4491.0692,1045.498
"2006-08-29 00:00:00",0.180129824561404,3899.9108187193,4932.47368421053,172.111052631579,4924.40771929825,1052.46105263158
